Hieroglyph,Gardiner,Description,Ideogram,,,,
𓅩,G36A,swallow (low),swallow (mnt),,,,
𓅩,U+13169,swallow (low),"great, elder (wr)",,,,
𓅪,G37,sparrow,Bad (bjn),,,,
𓅪,U+1316A,sparrow,"Small, weak (nḏs)",,,,
𓅫,G37A,sparrow (low),Bad (bjn),,,,
𓅫,U+1316B,sparrow (low),"Small, weak (nḏs)",,,,
𓅬,G38,goose,Bird (ꜣpd),,,,
𓅬,U+1316C,goose,Geb (gb),,,,
𓅬,U+1316C,goose,Destroy (ḥtm),,,,
𓅭,G39,pintail duck,Son (sꜣ/zꜣ),,,,
𓅭,U+1316D,pintail duck,Son (sꜣ/zꜣ),,,,
𓅮,G40,pintail flying,Fly (pꜣ),,,,
𓅮,U+1316E,pintail flying,Fly (pꜣ),,,,
𓅯,G41,pintail alighting,Alight (ḫnj),,,,
𓅯,U+1316F,pintail alighting,Alight (ḫnj),,,,
𓅰,G42,widgeon,to fatten (wšꜣ),,,,
𓅰,U+13170,widgeon,Food (ḏfꜣw),,,,
𓅱,G43,quail chick,"Field, district, region (w)",,,,
𓅱,U+13171,quail chick,"Field, district, region (w)",,,,
𓅱,U+13171,quail chick,"Field, district, region (w)",,,,
𓅱,U+13171,quail chick,"Field, district, region (w)",,,,
𓅲,G43A,combination of quail chick and flat loaf,"Field, district, region (w)",,,,
𓅲,U+13172,combination of quail chick and flat loaf,"Field, district, region (w)",,,,
𓅳,G44,two quail chicks,"Field, district, region (w)",,,,
𓅳,U+13173,two quail chicks,"Field, district, region (w)",,,,
𓅴,G45,combination of quail chick and forearm,"Field, district, region (w)",,,,
𓅴,U+13174,combination of quail chick and forearm,"Field, district, region (w)",,,,
𓅵,G45A,combination of quail chick and forearm with conical loaf,"Field, district, region (w)",,,,
𓅵,U+13175,combination of quail chick and forearm with conical loaf,"Field, district, region (w)",,,,
𓅶,G46,combination of quail chick and sickle,"Field, district, region (w)",,,,
𓅶,U+13176,combination of quail chick and sickle,"Field, district, region (w)",,,,
𓅷,G47,duckling,Fledgeling (ṯꜣ),,,,
𓅷,U+13177,duckling,Vizier (ṯꜣty),,,,
𓅸,G48,three ducklings in nest,"nest, pond, marsh (sš)",,,,
𓅸,U+13178,three ducklings in nest,"nest, pond, marsh (sš)",,,,
𓅹,G49,three ducklings in pool,"nest, pond, marsh (sš)",,,,
𓅹,U+13179,three ducklings in pool,"nest, pond, marsh (sš)",,,,
𓅺,G50,two plovers,Washerman (rḫtj),,,,
𓅺,U+1317A,two plovers,Washerman (rḫtj),,,,
𓅻,G51,bird pecking at fish,to catch fish (ḥꜣm/ḥjm),,,,
𓅻,U+1317B,bird pecking at fish,to catch fish (ḥꜣm/ḥjm),,,,
𓅼,G52,goose picking up grain,to feed (snm),,,,
𓅼,U+1317C,goose picking up grain,to feed (snm),,,,
𓅽,G53,human-headed bird with bowl with smoke,Ba-soul (bꜣ),,,,
𓅽,U+1317D,human-headed bird with bowl with smoke,Ba-soul (bꜣ),,,,
𓅾,G54,plucked bird,to wring (birds' necks) (wšn),,,,
𓅾,U+1317E,plucked bird,to fear (snḏ),,,,
𓅾,U+1317E,plucked bird,to fear (snḏ),,,,
𓅿,H1,head of pintail,bird (ꜣpd),,,,
𓅿,U+1317F,head of pintail,Wring (the neck of a bird (wšn),,,,
𓆀,H2,head of heron,Be effective (ꜣḫ),,,,
𓆀,U+13180,head of heron,Be effective (ꜣḫ),,,,
𓆀,U+13180,head of heron,Be effective (ꜣḫ),,,,
𓆀,U+13180,head of heron,Be effective (ꜣḫ),,,,
𓆀,U+13180,head of heron,Be effective (ꜣḫ),,,,
𓆀,U+13180,head of heron,Be effective (ꜣḫ),),,,
𓆁,H3,head of spoonbill,Speak (ḏd) (Ptolemaic),,,,
𓆁,U+13181,head of spoonbill,Speak (ḏd) (Ptolemaic),,,,
𓆂,H4,head of vulture,Fear (nr),,,,
𓆂,U+13182,head of vulture,Person (rmṯ),,,,
𓆃,H5,wing,wing (ḏnḥ),,,,
𓆃,U+13183,wing,fly (pꜣ),,,,
𓆄,H6,feather,"feather, plumage (šwt)",,,,
𓆄,U+13184,feather,Maat (mꜣꜥt),,,,
𓆄,U+13184,feather,Shu (šw),,,,
𓆄,U+13184,feather,True (mꜣꜥ),,,,
𓆅,H6A,hieratic feather,"feather, plumage (šwt)",,,,
𓆅,U+13185,hieratic feather,Maat (mꜣꜥt),,,,
𓆅,U+13185,hieratic feather,Shu (šw),,,,
𓆆,H7,bird foot,Claw (ꜥnt),,,,
𓆆,U+13186,bird foot,Claw (ꜥnt),,,,
𓆇,H8,egg,son (sꜣ/zꜣ),,,,
𓆇,U+13187,egg,son (sꜣ/zꜣ),,,,
𓆈,I1,gecko,"Multitudes, countless (ꜥšꜣ)",,,,
𓆈,U+13188,gecko,Lizard (ꜥšꜣ),,,,
𓆉,I2,turtle,Turtle (št),,,,
𓆉,U+13189,turtle,Turtle (št),,,,
𓆊,I3,crocodile,"Crocodile (msḥ, jt, ḥntj)",,,,
𓆊,U+1318A,crocodile,Sobek (sbk),,,,
𓆋,I4,crocodile,Sobek (sbk),,,,
𓆋,U+1318B,on shrine,Sobek (sbk),,,,
𓆌,I5,crocodile with curved tail,"pull together, be wary (sꜣq)",,,,
𓆌,U+1318C,crocodile with curved tail,"pull together, be wary (sꜣq)",,,,
𓆍,I5A,image of crocodile,Sobek (sbk),,,,
𓆍,U+1318D,image of crocodile,"image (ꜥẖm, ꜥšm)",,,,
𓆎,I6,crocodile scales,"black, dark (km)",,,,
𓆎,U+1318E,crocodile scales,"black, dark (km)",,,,
𓆏,I7,frog,Heket (ḥqt),,,,
𓆏,U+1318F,frog,"Frog (ꜥbḫn, qrr)",,,,
𓆏,U+1318F,frog,Frog (lit. ‘repeating life’) (wḥm-ꜥnḫ),,,,
𓆏,U+1318F,frog,"100,000 (ḥfn) (see I8)",,,,
𓆐,I8,tadpole,"100,000 (ḥfn)",,,,
𓆐,U+13190,tadpole,"100,000 (ḥfn)",,,,
𓆑,I9,horned viper,"100,000 (ḥfn)",,,,
𓆑,U+13191,horned viper,"100,000 (ḥfn)",,,,
𓆒,I9A,horned viper crawling out of enclosure,Come forth (prj),,,,
𓆒,U+13192,horned viper crawling out of enclosure,Come forth (prj),,,,
𓆓,I10,cobra in repose,Cobra (ḏt),,,,
𓆓,U+13193,cobra in repose,Cobra (ḏt),,,,
𓆔,I10A,cobra with feather,Cobra (ḏt),,,,
𓆔,U+13194,cobra with feather,Cobra (ḏt),,,,
𓆕,I11,two cobras,Cobra (ḏt),,,,
𓆕,U+13195,two cobras,Cobra (ḏt),,,,
𓆖,I11A,"combination of cobra, flat loaf and sandy tract",(linear/stable) eternity (ḏt),,,,
𓆖,U+13196,"combination of cobra, flat loaf and sandy tract",(linear/stable) eternity (ḏt),,,,
𓆗,I12,cobra erect as on the forehead of the Pharaoh,Uraeus (jꜥrt),,,,
𓆗,U+13197,cobra erect as on the forehead of the Pharaoh,Lady (nbt) (Ptolemaic),,,,
𓆘,I13,erect cobra on basket,Wadjet (wꜣḏt),,,,
𓆘,U+13198,erect cobra on basket,Lady (nbt),,,,
𓆙,I14,snake,Snake (ḥfꜣw),,,,
𓆙,U+13199,snake,Snake (ḥfꜣw),,,,
𓆚,I15,snake,Snake (ḥfꜣw),,,,
𓆚,U+1319A,snake,Snake (ḥfꜣw),,,,
𓆛,K1,tilapia,Nile tilapia (jnt),,,,
𓆛,U+1319B,tilapia,Nile tilapia (jnt),,,,
𓆜,K2,barbel,Abomination (bwt),,,,
𓆜,U+1319C,barbel,Abomination (bwt),,,,
𓆝,K3,mullet,flathead mullet (ꜥḏw),,,,
𓆝,U+1319D,mullet,flathead mullet (ꜥḏw),,,,
𓆞,K4,elephant-snout fish,Mormyrus (ẖꜣt),,,,
𓆞,U+1319E,elephant-snout fish,Corpse (ẖꜣt),,,,
𓆟,K5,Petrocephalus bane,Fish (rm),,,,
𓆟,U+1319F,Petrocephalus bane,Fish (rm),,,,
𓆠,K6,fish scale,fish scale (nšmt),,,,
𓆠,U+131A0,fish scale,fish scale (nšmt),,,,
𓆡,K7,puffer,"Nile pufferfish, angry, discontent (špt)",,,,
𓆡,U+131A1,puffer,"Nile pufferfish, angry, discontent (špt)",,,,
𓆢,K8,catfish,Catfish (nꜥr),,,,
𓆢,U+131A2,catfish,Catfish (nꜥr),,,,
𓆣,L1,dung beetle,"dung beetle/scarab, become, emerge, manifest (ḫpr)",,,,
𓆣,U+131A3,dung beetle,land (tꜣ) (Late period),,,,
𓆤,L2,bee,bee (bjt),,,,
𓆤,U+131A4,bee,bee (bjt),,,,
𓆥,L2A,"combination of bee, sedge and two flat loafs",Dual King (nswt-bjty),,,,
𓆥,U+131A5,"combination of bee, sedge and two flat loafs",Dual King (nswt-bjty),,,,
𓆦,L3,fly,fly (ꜥff),,,,
𓆦,U+131A6,fly,fly (ꜥff),,,,
𓆧,L4,locust,Grasshopper (znḥm),,,,
𓆧,U+131A7,locust,Grasshopper (znḥm),,,,
𓆨,L5,centipede,centipede (spꜣ),,,,
𓆨,U+131A8,centipede,centipede (spꜣ),,,,
𓆩,L6,shell,centipede (spꜣ),,,,
𓆩,U+131A9,shell,centipede (spꜣ),,,,
𓆪,L6A,L6 reversed,centipede (spꜣ),,,,
𓆪,U+131AA,L6 reversed,centipede (spꜣ),,,,
𓆫,L7,scorpion,Serket (srqt),,,,
𓆫,U+131AB,scorpion,Serket (srqt),,,,
𓆬,L8,scorpion,Serket (srqt),,,,
𓆬,U+131AC,scorpion,Serket (srqt),,,,
𓆭,M1,tree,Charm (jmꜣ),,,,
𓆭,U+131AD,tree,Sycamore (nht),,,,
𓆭,U+131AD,tree,Bright (bꜣq),,,,
𓆭,U+131AD,tree,(A tree) (nꜥrt),,,,
𓆮,M1A,combination of tree and branch,"After, following (m-ḫt)",,,,
𓆮,U+131AE,combination of tree and branch,"After, following (m-ḫt)",,,,
𓆯,M1B,combination of tree and horned viper,Within him/it (jm.f),,,,
𓆯,U+131AF,combination of tree and horned viper,(A kind of tree) (nḏft),,,,
𓆯,U+131AF,combination of tree and horned viper,(A kind of tree) (ꜣtf),,,,
𓆰,M2,plant,True of Voice (mꜣꜥ-ḫrw),,,,
𓆰,U+131B0,plant,True of Voice (mꜣꜥ-ḫrw),,,,
𓆰,U+131B0,plant,True of Voice (mꜣꜥ-ḫrw),,,,
𓆰,U+131B0,plant,True of Voice (mꜣꜥ-ḫrw),,,,
𓆱,M3,branch,Wood (ḫt),,,,
𓆱,U+131B1,branch,Throughout (ḫt),,,,
𓆲,M3A,combination of owl and branch,"After, following (m-ḫt)",,,,
𓆲,U+131B2,combination of owl and branch,"After, following (m-ḫt)",,,,
𓆳,M4,palm branch,Year (rnpt),,,,
𓆳,U+131B3,palm branch,Young (rnp),,,,
𓆳,U+131B3,palm branch,time (tr),,,,
𓆴,M5,combination of palm branch and flat loaf,Year (rnpt),,,,
𓆴,U+131B4,combination of palm branch and flat loaf,time (tr),,,,
𓆵,M6,combination of palm branch and mouth,time (tr),,,,
𓆵,U+131B5,combination of palm branch and mouth,time (tr),,,,
𓆶,M7,combination of palm branch and stool,Young (rnp),,,,
𓆶,U+131B6,combination of palm branch and stool,Young (rnp),,,,
𓆷,M8,pool with lotus flowers,"Field, Inundation season (ꜣḫt)",,,,
𓆷,U+131B7,pool with lotus flowers,Field (šꜣ),,,,
𓆸,M9,lotus flower,"Lotus (sšn, snšn, nḫb)",,,,
𓆸,U+131B8,lotus flower,Beautiful (nfr),,,,
𓆸,U+131B8,lotus flower,Beautiful (nfr),,,,
𓆹,M10,lotus bud with straight stem,Lotus bud (nḥbt),,,,
𓆹,U+131B9,lotus bud with straight stem,Lotus bud (nḥbt),,,,
𓆺,M10A,lotus bud with winding stem,Lotus bud (nḥbt),,,,
𓆺,U+131BA,lotus bud with winding stem,Lotus bud (nḥbt),,,,
𓆻,M11,flower on long twisted stalk,Offer (wdn),,,,
𓆻,U+131BB,flower on long twisted stalk,"Divert, revert (wḏb)",,,,
𓆼,M12,one lotus plant,"1,000 (ḫꜣ)",,,,
𓆼,U+131BC,one lotus plant,"1,000 (ḫꜣ)",,,,
𓆽,M12A,two lotus plants,"2,000",,,,
𓆽,U+131BD,two lotus plants,2000,,,,
𓆾,M12B,three lotus plants,"3,000",,,,
𓆾,U+131BE,three lotus plants,3000,,,,
𓆿,M12C,four lotus plants,"4,000",,,,
𓆿,U+131BF,four lotus plants,4000,,,,
𓇀,M12D,five lotus plants,"5,000",,,,
𓇀,U+131C0,five lotus plants,5000,,,,
𓇁,M12E,six lotus plants,"6,000",,,,
𓇁,U+131C1,six lotus plants,6000,,,,
𓇂,M12F,seven lotus plants,"7,000",,,,
𓇂,U+131C2,seven lotus plants,7000,,,,
𓇃,M12G,eight lotus plants,"8,000",,,,
𓇃,U+131C3,eight lotus plants,8000,,,,
𓇄,M12H,nine lotus plants,"9,000",,,,
𓇄,U+131C4,nine lotus plants,9000,,,,
𓇅,M13,papyrus,"Fresh, green, raw (wꜣḏ)",,,,
𓇅,U+131C5,stem,Lower Egypt (mḥw),,,,
𓇆,M14,combination of papyrus and cobra,"Fresh, green, raw (wꜣḏ)",,,,
𓇆,U+131C6,combination of papyrus and cobra,"Fresh, green, raw (wꜣḏ)",,,,
𓇇,M15,clump of papyrus with buds,Lower Egypt (mḥw),,,,
𓇇,U+131C7,clump of papyrus with buds,Around (ḥꜣ),,,,
𓇈,M15A,combination of clump of papyrus with buds and village,Lower Egypt (mḥw),,,,
𓇈,U+131C8,combination of clump of papyrus with buds and village,Lower Egypt (mḥw),,,,
𓇉,M16,clump of papyrus,Lower Egypt (mḥw),,,,
𓇉,U+131C9,clump of papyrus,Around (ḥꜣ),,,,
𓇊,M16A,combination of clump of papyrus and village,Lower Egypt (mḥw),,,,
𓇊,U+131CA,combination of clump of papyrus and village,Lower Egypt (mḥw),,,,
𓇋,M17,reed,Reed (j),,,,
𓇋,U+131CB,reed,"I, me, my (.j)",,,,
𓇌,M17A,two reeds,"I, me, my (.j)",,,,
𓇌,U+131CC,two reeds,"I, me, my (.j)",,,,
𓇍,M18,combination of reed and legs walking,Come (jj),,,,
𓇍,U+131CD,combination of reed and legs walking,Come (jj),,,,
𓇎,M19,heaped conical cakes between reed and club,Pleasing (ꜥꜣb),,,,
𓇎,U+131CE,heaped conical cakes between reed and club,"Offerings, provisions (ꜥꜣbt)",,,,
𓇏,M20,field of reeds,Field (sḫt),,,,
𓇏,U+131CF,field of reeds,Help (sm),,,,
𓇐,M21,reeds with root,Help (sm),,,,
𓇐,U+131D0,reeds with root,Help (sm),,,,
𓇑,M22,rush,El Kab (nḫb),,,,
𓇑,U+131D1,rush,Nekhbet (She of El Kab) (nḫbt),,,,
𓇒,M22A,two rushes,"This, that (nn)",,,,
𓇒,U+131D2,two rushes,"This, that (nn)",,,,
𓇓,M23,sedge,Sedge (swt),,,,
𓇓,U+131D3,sedge,King (nswt),,,,
𓇓,U+131D3,sedge,Upper Egypt(ian) (šmꜥw),,,,
𓇓,U+131D3,sedge,"South, Southern (rs, rsj, šmꜥw)",,,,
𓇔,M24,combination of sedge and mouth,"South, Southern (rs, rsj, rsw)",,,,
𓇔,U+131D4,combination of sedge and mouth,"South, Southern (rs, rsj, rsw)",,,,
𓇕,M24A,lily,Upper Egypt (šmꜥw),,,,
𓇕,U+131D5,lily,Upper Egypt (šmꜥw),,,,
𓇖,M25,combination of flowering sedge and mouth,"South, Southern (rs, rsj, rsw)",,,,
𓇖,U+131D6,combination of flowering sedge and mouth,"South, Southern (rs, rsj, rsw)",,,,
𓇗,M26,flowering,Make music (šmꜥ),,,,
𓇗,U+131D7,sedge,"South, Southern, Upper Egypt(ian) (šmꜥw)",,,,
𓇘,M27,combination of flowering sedge and forearm,Make music (šmꜥ),,,,
𓇘,U+131D8,combination of flowering sedge and forearm,"South, Southern, Upper Egypt(ian) (šmꜥw)",,,,
𓇙,M28,combination of flowering sedge and hobble,Upper Egyptian 10’s (mḏw-šmꜥw),,,,
𓇙,U+131D9,combination of flowering sedge and hobble,Upper Egyptian 10’s (mḏw-šmꜥw),,,,
𓇚,M28A,three lilies on village,Upper Egypt (šmꜥw),,,,
𓇚,U+131DA,three lilies on village,Upper Egypt (šmꜥw),,,,
𓇛,M29,Carob seed-pod,Carob (nḏm),,,,
𓇛,U+131DB,Carob seed-pod,Sweet (nḏm),,,,
𓇜,M30,root,Date (bnr),,,,
𓇜,U+131DC,root,Sweet (bnr),,,,
𓇝,M31,rhizome,Prosper (rwḏ),,,,
𓇝,U+131DD,rhizome,Prosper (rwḏ),,,,
𓇞,M31A,tree in vase,Prosper (rwḏ),,,,
𓇞,U+131DE,tree in vase,Prosper (rwḏ),,,,
𓇟,M32,rhizome,Prosper (rwḏ),,,,
𓇟,U+131DF,rhizome,Prosper (rwḏ),,,,
𓇠,M33,3 grains horizontally,Barley (jt),,,,
𓇠,U+131E0,3 grains horizontally,Barley (jt),,,,
𓇡,M33A,3 grains vertically,Barley (jt),,,,
𓇡,U+131E1,3 grains vertically,Barley (jt),,,,
𓇢,M33B,3 grains in triangular arrangement,Barley (jt),,,,
𓇢,U+131E2,3 grains in triangular arrangement,Barley (jt),,,,
𓇣,M34,ear of emmer,Emmer (bdt),,,,
𓇣,U+131E3,ear of emmer,Emmer (bdt),,,,
𓇤,M35,stack,"Pile, stack (ꜥḥꜥ, ꜥḥꜥw)",,,,
𓇤,U+131E4,(of grain),"Pile, stack (ꜥḥꜥ, ꜥḥꜥw)",,,,
𓇥,M36,bundle of flax,"End, limit (ḏr)",,,,
𓇥,U+131E5,bundle of flax,"End, limit (ḏr)",,,,
𓇦,M37,bundle of flax,"End, limit (ḏr)",,,,
𓇦,U+131E6,bundle of flax,"End, limit (ḏr)",,,,
𓇧,M38,wide bundle of flax,Bind together (dmꜣ),,,,
𓇧,U+131E7,wide bundle of flax,Bind together (dmꜣ),,,,
𓇨,M39,basket of fruit or grain,"End, limit (ḏr)",,,,
𓇨,U+131E8,basket of fruit or grain,Bind together (dmꜣ),,,,
𓇩,M40,bundle of reeds,Gang (of workmen (js),,,,
𓇩,U+131E9,bundle of reeds,Gang (of workmen (js),,,,
𓇪,M40A,bundle of reeds,Gang (of workmen (js),,,,
𓇪,U+131EA,bundle of reeds,Gang (of workmen (js),,,,
𓇫,M41,piece of wood,Juniper (wꜥn),,,,
𓇫,U+131EB,piece of wood,Cedar (ꜥš),,,,
𓇬,M42,flower,Eat (wnm),,,,
𓇬,U+131EC,flower,"Be, exist (wn)",,,,
𓇭,M43,vine on trellis,Wine (jrp),,,,
𓇭,U+131ED,vine on trellis,"Vintner, Gardener (kꜣny)",,,,
𓇮,M44,thorn,Sharp (spd),,,,
𓇮,U+131EE,thorn,Thorn (srt),,,,
𓇯,N1,sky,"Sky, heaven (pt)",,,,
𓇯,U+131EF,sky,Above (ḥry),,,,
𓇰,N2,sky with sceptre,Darkness (kkw),,,,
𓇰,U+131F0,sky with sceptre,Night (grḥ),,,,
𓇱,N3,sky with sceptre,Darkness (kkw),,,,
𓇱,U+131F1,sky with sceptre,Night (grḥ),,,,
𓇲,N4,sky with rain,Dew (ỉꜣdt),,,,
𓇲,U+131F2,sky with rain,Storm (šnyt),,,,
𓇳,N5,sun,"Ra, the sun (rꜥ)",,,,
𓇳,U+131F3,sun,Day (hrw),,,,
𓇴,N6,sun with uraeus,"Ra, the sun (rꜥ)",,,,
𓇴,U+131F4,sun with uraeus,Day (hrw),,,,
𓇵,N7,combination of sun and butcher's block,Every day (ẖrt-hrw),,,,
𓇵,U+131F5,combination of sun and butcher's block,Every day (ẖrt-hrw),,,,
𓇶,N8,sunshine,Shine (psḏ),,,,
𓇶,U+131F6,sunshine,Rise (wbn),,,,
𓇶,U+131F6,sunshine,Illuminate (sḥḏ),,,,
𓇶,U+131F6,sunshine,Sunfolk (of Heliopolis) (ḥnmmt),,,,
𓇷,N9,moon with lower half obscured,Primeval time (pꜣwt),,,,
𓇷,U+131F7,moon with lower half obscured,Ennead (psḏt),,,,
𓇷,U+131F7,moon with lower half obscured,New moon festival (psḏntyw),,,,
𓇸,N10,moon with lower section obscured,Primeval time (pꜣwt),,,,
𓇸,U+131F8,moon with lower section obscured,Ennead (psḏt),,,,
𓇸,U+131F8,moon with lower section obscured,New moon festival (psḏntyw),,,,
𓇹,N11,crescent moon,Moon (jꜥḥ),,,,
𓇹,U+131F9,crescent moon,Month (ꜣbd),,,,
𓇺,N12,crescent moon,Moon (jꜥḥ),,,,
𓇺,U+131FA,crescent moon,Month (ꜣbd),,,,
𓇻,N13,combination of crescent moon and star,Half-month festival (smdt),,,,
𓇻,U+131FB,combination of crescent moon and star,Half-month festival (smdt),,,,
𓇼,N14,star,Star (sbꜣ),,,,
𓇼,U+131FC,star,"Praise, adore, thank (dwꜣ)",,,,
𓇼,U+131FC,star,5 (djw),,,,
𓇼,U+131FC,star,God (nṯr) (Ptolemaic),,,,
𓇽,N15,star in circle,Duat (dwꜣt),,,,
𓇽,U+131FD,star in circle,Duat (dwꜣt),,,,
𓇾,N16,land with grains,"Land, Earth (tꜣ)",,,,
𓇾,U+131FE,land with grains,"Land, Earth (tꜣ)",,,,
𓇿,N17,land,"Land, Earth (tꜣ)",,,,
𓇿,U+131FF,land,"Land, Earth (tꜣ)",,,,
𓈀,N18,sandy tract,Horizon (ꜣḫt),,,,
𓈀,U+13200,sandy tract,Island (jw),,,,
𓈀,U+13200,sandy tract,"Kilt, loincloth (dꜣjw)",,,,
𓈁,N18A,combination of sandy tract and ripple of water,Amun (jmn) (Cryptographic),,,,
𓈁,U+13201,combination of sandy tract and ripple of water,Amun (jmn) (Cryptographic),,,,
𓈂,N18B,combination of roll of bread and bolt,Shenes (location) (šns),,,,
𓈂,U+13202,combination of roll of bread and bolt,Shenes (location) (šns),,,,
𓈃,N19,two sandy tracts,Two horizons (ꜣḫty),,,,
𓈃,U+13203,two sandy tracts,Two horizons (ꜣḫty),,,,
𓈄,N20,tongue of land,Riverbank (jdb),,,,
𓈄,U+13204,tongue of land,"Revert, divert (wḏb)",,,,
𓈅,N21,short tongue of land,Riverbank (jdb),,,,
𓈅,U+13205,short tongue of land,"Revert, divert (wḏb)",,,,
𓈆,N22,broad tongue of land,Riverbank (jdb),,,,
𓈆,U+13206,broad tongue of land,"Revert, divert (wḏb)",,,,
𓈇,N23,irrigation canal,"Revert, divert (wḏb)",,,,
𓈇,U+13207,irrigation canal,"Revert, divert (wḏb)",,,,
𓈈,N24,irrigation canal system,District (spꜣt),,,,
𓈈,U+13208,irrigation canal system,District (spꜣt),,,,
𓈉,N25,three hills,Foreign land (ḫꜣst),,,,
𓈉,U+13209,three hills,Foreign land (ḫꜣst),,,,
𓈊,N25A,three hills (low),Foreign land (ḫꜣst),,,,
𓈊,U+1320A,three hills (low),Foreign land (ḫꜣst),,,,
𓈋,N26,two hills,Mountain (ḏw),,,,
𓈋,U+1320B,two hills,Mountain (ḏw),,,,
𓈌,N27,sun over mountain,Horizon (ꜣḫt),,,,
𓈌,U+1320C,sun over mountain,Horizon (ꜣḫt),,,,
𓈍,N28,rays of sun over hill,Appear (ḫꜥj),,,,
𓈍,U+1320D,rays of sun over hill,Appear (ḫꜥj),,,,
𓈎,N29,slope of hill,Hill (qꜣꜣ),,,,
𓈎,U+1320E,slope of hill,Hill (qꜣꜣ),,,,
𓈏,N30,mound of earth,Mound (ỉꜣt),,,,
𓈏,U+1320F,mound of earth,Mound (ỉꜣt),,,,
𓈐,N31,road with shrubs,"Path, way (wꜣt)",,,,
𓈐,U+13210,road with shrubs,"Course, road (mṯn)",,,,
𓈐,U+13210,road with shrubs,Distant (ḥr),,,,
𓈑,N32,lump of clay,Clay (sjn),,,,
𓈑,U+13211,lump of clay,Clay (sjn),,,,
𓈒,N33,grain,Clay (sjn),,,,
𓈒,U+13212,grain,Clay (sjn),,,,
𓈓,N33A,three grains,Clay (sjn),,,,
𓈓,U+13213,three grains,Clay (sjn),,,,
𓈔,N34,ingot of metal,Iron (bjꜣ),,,,
𓈔,U+13214,ingot of metal,Copper (ḥmt),,,,
𓈕,N34A,ingot of metal,Copper (ḥmt),,,,
𓈕,U+13215,ingot of metal,Copper (ḥmt),,,,
𓈖,N35,ripple of water,"To, for (Dative preposition) (n)",,,,
𓈖,U+13216,ripple of water,Of (Genitival adjective) (n[j]),,,,
𓈗,N35A,three ripples of water,Water (mw),,,,
𓈗,U+13217,three ripples of water,Water (mw),,,,
𓈘,N36,canal,Canal (mr),,,,
𓈘,U+13218,canal,Beloved [of] (mry),,,,
𓈙,N37,pool,"Lake, pool (š)",,,,
𓈙,U+13219,pool,"Lake, pool (š)",,,,
𓈚,N37A,pool,"Lake, pool (š)",,,,
𓈚,U+1321A,pool,"Lake, pool (š)",,,,
𓈛,N38,deep pool,"Lake, pool (š)",,,,
𓈛,U+1321B,deep pool,"Lake, pool (š)",,,,
𓈜,N39,pool with water,"Lake, pool (š)",,,,
𓈜,U+1321C,pool with water,"Lake, pool (š)",,,,
𓈝,N40,pool,"Go, set out (šm)",,,,
𓈝,U+1321D,with legs,"Go, set out (šm)",,,,
𓈞,N41,well with ripple of water,Copper (ḥmt),,,,
𓈞,U+1321E,well with ripple of water,Metal (bjꜣ),,,,
𓈞,U+1321E,well with ripple of water,Wife (ḥmt),,,,
𓈟,N42,well with line of water,Copper (ḥmt),,,,
𓈟,U+1321F,well with line of water,Metal (bjꜣ),,,,
𓈟,U+1321F,well with line of water,Wife (ḥmt),,,,
𓈠,NL1,Nome sign with wall and mace,White-Walls (jnb-ḥḏ),,,,
𓈠,U+13220,Nome sign with wall and mace,White-Walls (jnb-ḥḏ),,,,
𓈡,NL2,Nome sign with cow thigh,Cow thigh (ḫpš),,,,
𓈡,U+13221,Nome sign with cow thigh,Cow thigh (ḫpš),,,,
𓈢,NL3,Nome sign with falcon and feather,West (jmntt),,,,
𓈢,U+13222,Nome sign with falcon and feather,West (jmntt),,,,
𓈣,NL4,"Nome sign with shield, crossed arrows, and sedge",Southern Neith (nt-rst),,,,
𓈣,U+13223,"Nome sign with shield, crossed arrows, and sedge",Southern Neith (nt-rst),,,,
𓈤,NL5,"Nome sign with shield, crossed arrows, and papyrus plant",Northern Neith (nt-mḥt),,,,
𓈤,U+13224,"Nome sign with shield, crossed arrows, and papyrus plant",Northern Neith (nt-mḥt),,,,
𓈥,NL5a,"Nome sign with shield, crossed arrows, and whip upon bread loaf",Northern Neith (nt-mḥt),,,,
𓈥,U+13225,"Nome sign with shield, crossed arrows, and whip upon bread loaf",Northern Neith (nt-mḥt),,,,
𓈦,NL6,Nome sign with mountain and bull,ḫꜣsww (Mountain bull),,,,
𓈦,U+13226,Nome sign with mountain and bull,ḫꜣsww (Mountain bull),,,,
𓈧,NL7,Nome sign with harpoon and West-emblem,Western harpoon (ḥww-(gs)-jmnty),,,,
𓈧,U+13227,Nome sign with harpoon and West-emblem,Western harpoon (ḥww-(gs)-jmnty),,,,
𓈨,NL8,Nome sign with harpoon and East-emblem,Eastern harpoon (ḥww-(gs)-jꜣbty),,,,
𓈨,U+13228,Nome sign with harpoon and East-emblem,Eastern harpoon (ḥww-(gs)-jꜣbty),,,,
𓈩,NL9,Nome sign with Andjety,Andjety (ꜥnḏty),,,,
𓈩,U+13229,Nome sign with Andjety,Andjety (ꜥnḏty),,,,
𓈪,NL10,Nome sign with bull and crocodile skin,Black bull (kꜣ-km),,,,
𓈪,U+1322A,Nome sign with bull and crocodile skin,Black bull (kꜣ-km),,,,
𓈫,NL11,Nome sign with bull and pustule,Heseb-Bull (kꜣ-ḥsb),,,,
𓈫,U+1322B,Nome sign with bull and pustule,Heseb-Bull (kꜣ-ḥsb),,,,
